Datum,count
Fri 13:50 UTC,1
Fri 13:51 UTC,1
Fri 13:53 UTC,2
Fri 13:55 UTC,1
Fri 13:56 UTC,1
Fri 13:58 UTC,1
Fri 13:59 UTC,3
Fri 14:00 UTC,3
Fri 14:01 UTC,4
Fri 14:05 UTC,3
Fri 14:14 UTC,2
Fri 14:15 UTC,1
Fri 14:20 UTC,3
Fri 14:22 UTC,2
Fri 14:24 UTC,1
Fri 14:25 UTC,2
Fri 14:26 UTC,1
Fri 14:29 UTC,2
Fri 14:30 UTC,5
Fri 14:32 UTC,1
Fri 14:34 UTC,2
Fri 14:39 UTC,1
Fri 14:47 UTC,1
Fri 14:49 UTC,1
Fri 14:57 UTC,2
Fri 14:58 UTC,1
Fri 15:00 UTC,5
Fri 15:02 UTC,3
Fri 15:06 UTC,1
Fri 15:07 UTC,1
Fri 15:08 UTC,1
Fri 15:10 UTC,1
Fri 15:11 UTC,1
Fri 15:13 UTC,1
Fri 15:15 UTC,2
Fri 15:19 UTC,1
Fri 15:20 UTC,1
Fri 15:25 UTC,2
Fri 15:26 UTC,1
Fri 15:29 UTC,2
Fri 15:30 UTC,2
Fri 15:31 UTC,1
Fri 15:35 UTC,2
Fri 15:36 UTC,1
Fri 15:38 UTC,1
Fri 15:40 UTC,1
Fri 15:41 UTC,1
Fri 15:45 UTC,1
Fri 15:47 UTC,1
Fri 15:48 UTC,1
Fri 15:49 UTC,1
Fri 15:50 UTC,2
Fri 16:00 UTC,3
Fri 16:01 UTC,1
Fri 16:14 UTC,1
Fri 16:15 UTC,1
Fri 16:18 UTC,1
Fri 16:22 UTC,4
Fri 16:23 UTC,1
Fri 16:24 UTC,1
Fri 16:25 UTC,1
Fri 16:26 UTC,1
Fri 16:27 UTC,1
Fri 16:28 UTC,3
Fri 16:30 UTC,2
Fri 16:33 UTC,1
Fri 16:41 UTC,1
Fri 16:43 UTC,1
Fri 16:44 UTC,1
Fri 16:47 UTC,1
Fri 16:48 UTC,1
Fri 16:57 UTC,1
Fri 17:00 UTC,1
Fri 17:01 UTC,1
Fri 17:05 UTC,1
Fri 17:09 UTC,1
Fri 17:10 UTC,1
Fri 17:11 UTC,1
Fri 17:14 UTC,1
Fri 17:15 UTC,2
Fri 17:23 UTC,1
Fri 17:24 UTC,1
Fri 17:25 UTC,1
Fri 17:27 UTC,1
Fri 17:30 UTC,3
Fri 17:31 UTC,1
Fri 17:40 UTC,1
Fri 17:45 UTC,2
Fri 17:46 UTC,1
Fri 17:59 UTC,1
Fri 18:00 UTC,2
Fri 18:04 UTC,2
Fri 18:10 UTC,2
Fri 18:12 UTC,2
Fri 18:14 UTC,1
Fri 18:19 UTC,1
Fri 18:20 UTC,1
Fri 18:21 UTC,1
Fri 18:23 UTC,1
Fri 18:29 UTC,1
Fri 18:30 UTC,3
Fri 18:34 UTC,2
Fri 18:35 UTC,1
Fri 18:39 UTC,1
Fri 18:41 UTC,1
Fri 18:42 UTC,1
Fri 18:43 UTC,1
Fri 18:45 UTC,3
Fri 18:49 UTC,1
Fri 18:50 UTC,1
Fri 18:51 UTC,1
Fri 18:52 UTC,1
Fri 18:57 UTC,2
Fri 18:59 UTC,1
Fri 19:08 UTC,1
Fri 19:10 UTC,1
Fri 19:12 UTC,4
Fri 19:13 UTC,1
Fri 19:20 UTC,1
Fri 19:21 UTC,1
Fri 19:22 UTC,1
Fri 19:25 UTC,4
Fri 19:28 UTC,1
Fri 19:30 UTC,3
Fri 19:31 UTC,1
Fri 19:35 UTC,1
Fri 19:36 UTC,1
Fri 19:37 UTC,1
Fri 19:39 UTC,1
Fri 19:50 UTC,2
Fri 19:55 UTC,1
Fri 20:07 UTC,1
Fri 20:10 UTC,1
Fri 20:11 UTC,1
Fri 20:13 UTC,1
Fri 20:14 UTC,1
Fri 20:15 UTC,1
Fri 20:18 UTC,1
Fri 20:19 UTC,1
Fri 20:20 UTC,1
Fri 20:24 UTC,1
Fri 20:25 UTC,1
Fri 20:29 UTC,1
Fri 20:30 UTC,3
Fri 20:36 UTC,1
Fri 20:38 UTC,1
Fri 20:40 UTC,1
Fri 20:43 UTC,1
Fri 20:46 UTC,2
Fri 20:56 UTC,1
Fri 20:57 UTC,1
Fri 21:00 UTC,1
Fri 21:10 UTC,1
Fri 21:18 UTC,1
Fri 21:19 UTC,1
Fri 21:21 UTC,1
Fri 21:26 UTC,2
Fri 21:28 UTC,1
Fri 21:30 UTC,1
Fri 21:32 UTC,1
Fri 21:36 UTC,1
Fri 21:37 UTC,1
Fri 21:39 UTC,1
Fri 21:41 UTC,1
Fri 21:42 UTC,1
Fri 21:43 UTC,1
Fri 21:46 UTC,1
Fri 21:48 UTC,2
Fri 21:50 UTC,1
Fri 21:56 UTC,1
Fri 22:00 UTC,3
Fri 22:01 UTC,1
Fri 22:02 UTC,2
Fri 22:03 UTC,1
Fri 22:08 UTC,1
Fri 22:09 UTC,1
Fri 22:11 UTC,1
Fri 22:15 UTC,2
Fri 22:16 UTC,1
Fri 22:17 UTC,1
Fri 22:20 UTC,2
Fri 22:22 UTC,1
Fri 22:24 UTC,1
Fri 22:28 UTC,1
Fri 22:29 UTC,1
Fri 22:30 UTC,1
Fri 22:33 UTC,1
Fri 22:35 UTC,1
Fri 22:36 UTC,1
Fri 22:38 UTC,3
Fri 22:41 UTC,1
Fri 22:44 UTC,1
Fri 22:50 UTC,1
Fri 22:58 UTC,1
Fri 22:59 UTC,2
Fri 23:00 UTC,1
Fri 23:02 UTC,2
Fri 23:03 UTC,1
Fri 23:05 UTC,2
Fri 23:10 UTC,1
Fri 23:13 UTC,1
Fri 23:14 UTC,1
Fri 23:22 UTC,2
Fri 23:28 UTC,1
Fri 23:29 UTC,2
Fri 23:30 UTC,1
Fri 23:31 UTC,1
Fri 23:35 UTC,1
Fri 23:36 UTC,1
Fri 23:38 UTC,1
Fri 23:41 UTC,1
Fri 23:45 UTC,1
Fri 23:47 UTC,1
Fri 23:51 UTC,1
